scenario,label,variant,sector,flow_sum,flow_pv_3_5,opex_sum,opex_pv_3_5,capex_sum,capex_pv_3_5,revenue_sum,revenue_pv_3_5,req_investment_sum,req_investment_pv_3_5,req_capacity_additions_sum,req_capacity_additions_pv_3_5,ghg_sum,ghg_pv_3_5,jobs_sum,jobs_pv_3_5
BAU,Business-as-Usual,CENTRAL,Virgin plastic production,58832673.291448765,37205300.43585188,59568081707.59189,37670366691.30004,19856027235.863945,12556788897.100006,0.0,0.0,15834206049.202244,10269862989.482193,2345808.303585519,1521461.1836269924,156789074.32171094,99152125.66154526,470661.38633158995,297642.40348681493
BAU,Business-as-Usual,CENTRAL,Plastic conversion,60717367.48141796,38462553.18671895,40574380819.45755,25702601167.024937,13524793606.485847,8567533722.341645,0.0,0.0,10551554285.084991,6841570684.517632,2368474.586999999,1535706.1020241599,79782620.87058322,50539794.88734872,303586.83740708954,192312.76593359467
BAU,Business-as-Usual,CENTRAL,Formal collection,10727443.27865131,7233408.615251818,554511646.0137389,361088566.96437484,237647848.2284687,154752242.94362044,0.0,0.0,15857420.602507666,9361606.009354016,68639.58749399096,41923.141849335225,186228.41531738668,125571.97356077156,64673.13790300602,43608.45550346148
BAU,Business-as-Usual,CENTRAL,Informal collection & sorting,11538898.877223313,7698859.561428245,3631314401.626833,2422846399.7289405,0.0,0.0,0.0,0.0,0.0,0.0,137654.03600737287,86874.38242097682,0.0,0.0,1280817.7753717876,854573.4113185351
BAU,Business-as-Usual,CENTRAL,Formal sorting,273448.6386024168,175818.2775596057,16343902.248492654,10618218.177032497,5447967.416164215,3539406.0590108293,0.0,0.0,1692562.3396235283,1214657.2268243632,8318.59952147899,5898.280408074069,13229.44513558493,8506.088268333726,464.86268562410874,298.8910718513298
BAU,Business-as-Usual,CENTRAL,Closed loop MR Inputs,2581870.1386723965,1722325.225423533,717991569.9053907,483175251.61253035,275230101.7970666,185217179.7848034,2829729671.9849467,1887668447.064192,32933337.114313915,20954030.225070387,31050.18699299144,19605.413876061786,1156828.9244103301,850247.7501981676,7745.610416017189,5166.9756762706
BAU,Business-as-Usual,CENTRAL,Closed loop MR Outputs,1884694.1899691874,1257252.7508670664,524114300.8038599,352705555.4122317,200910481.974813,135203796.2413555,2065624832.2062292,1377949014.9503045,24041360.035941746,15296459.140354894,22666.63650488388,14311.952129525227,844456.103529017,620660.9131887634,5654.082569907562,3771.758252601199
BAU,Business-as-Usual,CENTRAL,Open loop MR Inputs,8389026.117687203,5598452.797406225,1555342153.4463408,1047090293.5045915,583253307.5423776,392658860.0642216,7563269225.211055,4971644718.226614,41465250.84306147,26379620.941745963,99909.1051437029,63076.52498286409,3761216.9209352136,2765441.6941486816,25167.0783530616,16795.358392218674
BAU,Business-as-Usual,CENTRAL,Open loop MR Outputs,6123760.132490994,4086726.1186343553,1135357746.4834318,764349212.4548337,425759154.931287,286630954.6705627,5520977046.823839,3629170053.2116013,50449440.07267029,32095242.505539045,72933.64675494772,46045.86323750554,2745594.4417271833,2018707.5404660737,18371.280397472994,12260.17835590307
BAU,Business-as-Usual,CENTRAL,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,CENTRAL,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,CENTRAL,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
